Kirby's Return to Dream Land	Kirby's Return to Dream Land (USA) (En,Fr,Es).wbfs	ERROR_EXIT28	339
Mario & Sonic at the London 2012 Olympic Games	Mario & Sonic at the London 2012 Olympic Games (USA) (En,Ja,Fr,Es).wbfs	ERROR_EXIT28	18
PokéPark 2: Wonders Beyond	PokePark 2 - Wonders Beyond (USA).wbfs	ERROR_EXIT28	21
The Legend of Zelda: Skyward Sword	Legend of Zelda, The - Skyward Sword (USA) (En,Fr,Es) (Rev 1).wbfs	ERROR_EXIT28	204
Fortune Street	Fortune Street (USA).wbfs	ERROR_EXIT28	20
Kiki Trick	Kiki Trick (Japan) (Rev 1).wbfs	ERROR_EXIT28	111
Mario Party 9	Mario Party 9 (USA, Asia) (En,Fr,Es).wbfs	ERROR_EXIT28	39
Project Zero 2: Wii Edition	Project Zero 2 - Wii Edition (Europe) (En,Fr,De,Es,It).wbfs	ERROR_EXIT28	823
Kirby's Dream Collection	Kirby's Dream Collection - Special Edition (USA).wbfs	ERROR_EXIT28	240
Just Dance Wii 2	Just Dance Wii 2 (Japan).wbfs	ERROR_EXIT28	26
Pangya! Golf with Style	Pangya! Golf with Style (Europe) (En,Fr,De,Es,It).wbfs	ERROR_EXIT66	28
Inazuma Eleven Strikers	Inazuma Eleven Strikers (Europe) (En,Es,It).wbfs	ERROR_EXIT78	108
Cooking Mama	Cooking Mama (Europe) (En,Fr,De,Es,It).wbfs	ERROR_EXIT14	3639
Zack & Wiki: Quest for Barbaros' Treasure	Zack & Wiki - Quest for Barbaros' Treasure (USA).wbfs	ERROR_EXIT14	1126
We Ski	We Ski (USA) (En,Fr,Es).wbfs	ERROR_EXIT28	31
Quiz Party	Quiz Party (Germany).wbfs	ERROR_EXIT28	22
World of Goo	World of Goo (USA) (Demo) (WiiWare).zip	ERROR_EXIT28	2
Orbient	Art Style - ORBIENT (USA) (WiiWare).zip	ERROR_EXIT28	3
Excitebike: World Rally	Excitebike - World Rally (USA) (v512) (WiiWare).zip	ERROR_EXIT28	3
Ultra Hand	Grill-Off with Ultra Hand! (USA) (Club Nintendo) (WiiWare).zip	ERROR_EXIT28	10
Eco Shooter: Plant 530	Eco Shooter - Plant 530 (USA) (WiiWare).zip	ERROR_EXIT28	2
Line Attack Heroes	Line Attack Heroes (Japan) (WiiWare).zip	ERROR_EXIT28	2
Samurai Warriors 3	Samurai Warriors 3 (USA) (En,Fr,Es).wbfs	ERROR_EXIT66	3016
Trauma Center: Second Opinion	Trauma Center - Second Opinion (USA).wbfs	ERROR_EXIT66	33
Trauma Center: New Blood	Trauma Center - New Blood (USA) (En,Ja).wbfs	PASS	3
GoldenEye 007 (2010 video game)	GoldenEye 007 (USA) (En,Fr).wbfs	ERROR_EXIT28	17
Epic Mickey	Disney Epic Mickey (USA, Canada) (En,Fr,Es).wbfs	ERROR_EXIT28	33
Fishing Resort	Fishing Resort (USA).wbfs	ERROR_EXIT28	295
Kororinpa: Marble Mania	Kororinpa - Marble Mania (USA).wbfs	CRASH_SIG10	5
Wing Island	Wing Island (USA) (En,Fr,Es).wbfs	PASS	32
Resident Evil 4	Resident Evil 4 - Wii Edition (USA).wbfs	PASS	3
Resident Evil: The Umbrella Chronicles	Resident Evil - The Umbrella Chronicles (USA).wbfs	PASS	7
Naruto: Clash of Ninja	Naruto - Clash of Ninja Revolution (USA).wbfs	PASS	3
Harvest Moon: Magical Melody	Harvest Moon - Magical Melody (USA).wbfs	ERROR_EXIT28	274
Harvest Moon: Tree of Tranquility	Harvest Moon - Tree of Tranquility (USA) (Rev 1).wbfs	ERROR_EXIT28	34
Monster Hunter Tri	Monster Hunter Tri (USA) (En,Fr,Es).wbfs	ERROR_EXIT28	17
Tetris Party Deluxe	Tetris Party Deluxe (USA) (En,Fr,Es).wbfs	ERROR_EXIT28	905
Go Vacation	Go Vacation (USA) (En,Fr,Es).wbfs	ERROR_EXIT36	18255
Dr. Mario Online Rx	Dr. Mario Online Rx (USA) (Beta) (WiiWare).zip	ERROR_EXIT28	944
My Pokémon Ranch	My Pokemon Ranch (USA) (WiiWare).zip	ERROR_EXIT28	6
Lonpos	Lonpos (USA) (WiiWare).zip	ERROR_EXIT28	218
Magnetica	Magnetica Twist (USA) (WiiWare).zip	ERROR_EXIT28	141
MaBoShi: The Three Shape Arcade	MaBoShi - The Three Shape Arcade (Europe) (WiiWare).zip	ERROR_EXIT28	3
Cubello	Art Style - CUBELLO (USA) (WiiWare).zip	ERROR_EXIT28	2645
Rotohex	Art Style - ROTOHEX (USA) (WiiWare).zip	ERROR_EXIT28	4
PictureBook Games: Pop-Up Pursuit	PictureBook Games - Pop-Up Pursuit (USA) (WiiWare).zip	ERROR_EXIT28	6
You, Me, and the Cubes	You, Me, and the Cubes (USA) (WiiWare).zip	ERROR_EXIT28	1107
Bonsai Barber	Bonsai Barber (USA) (WiiWare).zip	ERROR_EXIT28	96
WarioWare: D.I.Y. Showcase	WarioWare D.I.Y. Showcase (USA) (WiiWare).zip	ERROR_EXIT28	6
Pokémon Rumble	Pokemon Rumble (USA) (WiiWare).zip	ERROR_EXIT28	4
Rock N' Roll Climber	Rock N' Roll Climber (USA) (WiiWare).zip	ERROR_EXIT28	61
Rotozoa	Art Style - ROTOZOA (USA) (WiiWare).zip	ERROR_EXIT28	271
Snowpack Park	Snowpack Park (USA) (WiiWare).zip	ERROR_EXIT28	6
Fluidity (video game)	Fluidity (USA) (WiiWare).zip	ERROR_EXIT28	6
